,Unnamed: 0,client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome
33,33,16509,51,blue-collar,single,basic.4y,unknown,yes,jul,1,70,2,0,nonexistent,93.918,4.963,no
34,34,16510,47,self-employed,single,unknown,no,yes,jul,28,202,1,0,nonexistent,93.918,4.963,no
35,35,16511,36,blue-collar,married,basic.9y,no,no,jul,5,157,1,0,nonexistent,93.918,4.963,no
36,36,16512,26,services,single,high.school,no,yes,jul,31,190,1,0,nonexistent,93.918,4.963,no
37,37,16513,26,services,single,high.school,no,no,jul,29,172,1,0,nonexistent,93.918,4.963,no
38,38,16514,36,blue-collar,married,basic.9y,no,no,jul,8,143,1,0,nonexistent,93.918,4.963,no
39,39,16515,44,admin.,married,basic.6y,no,no,jul,1,70,1,0,nonexistent,93.918,4.963,no
40,40,16516,25,blue-collar,single,basic.9y,unknown,no,jul,3,173,4,0,nonexistent,93.918,4.963,no
41,41,16517,55,unemployed,married,university.degree,no,yes,jul,25,387,1,0,nonexistent,93.918,4.963,no
42,42,16518,30,blue-collar,married,basic.6y,no,yes,jul,3,74,3,0,nonexistent,93.918,4.963,no
43,43,16519,33,management,married,high.school,no,yes,jul,22,155,2,0,nonexistent,93.918,4.963,no
44,44,16520,39,blue-collar,single,university.degree,no,no,jul,1,81,1,0,nonexistent,93.918,4.963,no
45,45,16521,24,admin.,married,unknown,no,yes,jul,21,165,2,0,nonexistent,93.918,4.963,no
46,46,16522,28,admin.,married,university.degree,no,no,jul,21,690,1,0,nonexistent,93.918,4.963,yes
47,47,16523,53,services,married,high.school,no,no,jul,24,159,2,0,nonexistent,93.918,4.963,no
48,48,16524,28,services,single,high.school,no,no,jul,9,73,1,0,nonexistent,93.918,4.963,no
49,49,16525,30,management,married,university.degree,no,no,jul,26,465,2,0,nonexistent,93.918,4.963,no
50,50,16526,26,student,single,high.school,no,no,jul,27,312,1,0,nonexistent,93.918,4.963,no
51,51,16527,30,admin.,married,university.degree,no,yes,jul,30,717,8,0,nonexistent,93.918,4.963,no
52,52,16528,25,technician,single,university.degree,no,no,jul,6,355,3,0,nonexistent,93.918,4.963,no
53,53,16529,36,entrepreneur,married,university.degree,no,yes,jul,14,191,2,0,nonexistent,93.918,4.963,no
54,54,16530,37,entrepreneur,married,university.degree,no,yes,jul,29,538,2,0,nonexistent,93.918,4.963,no
55,55,16531,50,admin.,single,university.degree,no,no,jul,19,102,1,0,nonexistent,93.918,4.963,no
56,56,16532,28,admin.,married,university.degree,no,no,jul,7,118,1,0,nonexistent,93.918,4.963,no
57,57,16533,31,services,divorced,high.school,no,no,jul,3,197,2,0,nonexistent,93.918,4.963,no
58,58,16534,58,retired,married,basic.4y,unknown,yes,jul,1,374,1,0,nonexistent,93.918,4.963,no
59,59,16535,24,admin.,married,unknown,no,yes,jul,21,130,5,0,nonexistent,93.918,4.963,no
60,60,16536,53,entrepreneur,divorced,university.degree,no,yes,jul,27,97,5,0,nonexistent,93.918,4.963,no
61,61,16537,28,admin.,married,university.degree,no,yes,jul,14,529,1,0,nonexistent,93.918,4.963,yes
62,62,16538,49,unemployed,married,high.school,no,yes,jul,13,98,1,0,nonexistent,93.918,4.963,no
63,63,16539,59,retired,married,university.degree,unknown,no,jul,4,108,2,0,nonexistent,93.918,4.963,no
64,64,16540,33,blue-collar,married,basic.4y,no,yes,jul,6,273,2,0,nonexistent,93.918,4.963,no
65,65,16541,39,services,married,unknown,unknown,unknown,jul,10,140,2,0,nonexistent,93.918,4.963,no
66,66,16542,28,admin.,married,university.degree,no,no,jul,18,179,2,0,nonexistent,93.918,4.963,no
67,67,16543,56,retired,married,professional.course,no,no,jul,22,135,1,0,nonexistent,93.918,4.963,no
68,68,16544,24,admin.,married,university.degree,no,no,jul,9,135,1,0,nonexistent,93.918,4.963,no
69,69,16545,34,technician,married,professional.course,no,no,jul,6,511,3,0,nonexistent,93.918,4.963,no
70,70,16546,27,management,single,university.degree,no,no,jul,6,435,3,0,nonexistent,93.918,4.963,no
71,71,16547,37,admin.,single,university.degree,no,no,jul,11,36,2,0,nonexistent,93.918,4.963,no
72,72,16548,49,self-employed,divorced,university.degree,no,no,jul,29,207,2,0,nonexistent,93.918,4.963,no
73,73,16549,30,management,married,university.degree,no,unknown,jul,5,173,2,0,nonexistent,93.918,4.963,no
74,74,16550,40,admin.,divorced,university.degree,no,no,jul,19,366,2,0,nonexistent,93.918,4.963,no
75,75,16551,52,admin.,divorced,university.degree,no,no,jul,24,216,8,0,nonexistent,93.918,4.963,no
76,76,16552,44,technician,married,professional.course,no,no,jul,2,96,1,0,nonexistent,93.918,4.963,no
77,77,16553,36,blue-collar,married,basic.9y,unknown,yes,jul,16,297,1,0,nonexistent,93.918,4.963,no
78,78,16554,50,housemaid,married,unknown,no,yes,jul,17,58,2,0,nonexistent,93.918,4.963,no
79,79,16555,38,management,single,university.degree,no,no,jul,2,76,17,0,nonexistent,93.918,4.963,no
80,80,16556,31,blue-collar,married,basic.4y,unknown,no,jul,2,99,2,0,nonexistent,93.918,4.963,no
81,81,16557,30,management,married,university.degree,no,no,jul,26,103,4,0,nonexistent,93.918,4.963,no
82,82,16558,27,services,single,high.school,no,yes,jul,2,158,2,0,nonexistent,93.918,4.963,no
83,83,16559,25,blue-collar,married,high.school,no,no,jul,16,90,1,0,nonexistent,93.918,4.963,no
84,84,16560,30,blue-collar,married,basic.6y,no,no,jul,23,1152,2,0,nonexistent,93.918,4.963,yes
85,85,16561,27,blue-collar,single,high.school,no,yes,jul,6,55,1,0,nonexistent,93.918,4.963,no
86,86,16562,36,self-employed,single,university.degree,no,yes,jul,2,335,3,0,nonexistent,93.918,4.963,no
87,87,16563,49,self-employed,divorced,university.degree,no,yes,jul,31,126,4,0,nonexistent,93.918,4.963,no
88,88,16564,25,blue-collar,single,basic.9y,no,yes,jul,15,439,1,0,nonexistent,93.918,4.963,no
89,89,16565,26,technician,single,professional.course,no,no,jul,18,169,2,0,nonexistent,93.918,4.963,no
90,90,16566,26,admin.,single,university.degree,no,no,jul,9,979,3,0,nonexistent,93.918,4.963,no
91,91,16567,49,unknown,married,university.degree,no,yes,jul,26,92,2,0,nonexistent,93.918,4.963,no
92,92,16568,34,blue-collar,married,high.school,unknown,yes,jul,20,203,4,0,nonexistent,93.918,4.963,no
93,93,16569,37,technician,single,university.degree,no,yes,jul,25,256,1,0,nonexistent,93.918,4.963,no
94,94,16570,29,blue-collar,married,unknown,no,yes,jul,22,167,1,0,nonexistent,93.918,4.963,no
95,95,16571,24,admin.,married,university.degree,no,yes,jul,30,134,1,0,nonexistent,93.918,4.963,no
96,96,16572,39,blue-collar,married,basic.6y,unknown,no,jul,1,85,3,0,nonexistent,93.918,4.963,no
97,97,16573,32,technician,married,professional.course,no,yes,jul,23,172,2,0,nonexistent,93.918,4.963,no
98,98,16574,53,entrepreneur,divorced,university.degree,no,no,jul,8,383,2,0,nonexistent,93.918,4.963,no
99,99,16575,26,services,single,high.school,no,unknown,jul,26,588,1,0,nonexistent,93.918,4.963,no
100,100,16576,31,blue-collar,married,basic.9y,no,no,jul,30,152,1,0,nonexistent,93.918,4.963,no
101,101,16577,51,blue-collar,married,basic.4y,no,no,jul,25,25,6,0,nonexistent,93.918,4.963,no
102,102,16578,34,blue-collar,married,basic.9y,no,yes,jul,16,874,3,0,nonexistent,93.918,4.963,no
103,103,16579,24,admin.,married,university.degree,no,yes,jul,13,396,2,0,nonexistent,93.918,4.963,no
104,104,16580,29,self-employed,married,professional.course,unknown,no,jul,29,434,1,0,nonexistent,93.918,4.963,no
105,105,16581,25,blue-collar,single,basic.9y,no,yes,jul,27,322,2,0,nonexistent,93.918,4.963,no
106,106,16582,53,blue-collar,married,basic.4y,no,yes,jul,28,545,24,0,nonexistent,93.918,4.963,no
107,107,16583,59,retired,divorced,unknown,no,no,jul,21,413,2,0,nonexistent,93.918,4.963,no
108,108,16584,34,admin.,married,university.degree,no,no,jul,1,34,4,0,nonexistent,93.918,4.963,no
109,109,16585,47,technician,married,professional.course,no,yes,jul,19,586,2,0,nonexistent,93.918,4.963,no
110,110,16586,27,services,single,university.degree,no,no,jul,17,698,2,0,nonexistent,93.918,4.963,no
111,111,16587,24,services,single,basic.9y,no,yes,jul,14,73,4,0,nonexistent,93.918,4.963,no
112,112,16588,36,admin.,divorced,high.school,no,no,jul,27,1960,3,0,nonexistent,93.918,4.963,yes
113,113,16589,28,blue-collar,single,basic.4y,unknown,no,jul,1,186,1,0,nonexistent,93.918,4.963,no
114,114,16590,44,admin.,married,basic.6y,no,no,jul,2,212,3,0,nonexistent,93.918,4.963,no
115,115,16591,42,admin.,married,university.degree,no,no,jul,26,1331,3,0,nonexistent,93.918,4.963,no
116,116,16592,40,admin.,divorced,high.school,no,no,jul,21,1776,3,0,nonexistent,93.918,4.963,no
117,117,16593,39,admin.,married,basic.6y,unknown,no,jul,22,312,2,0,nonexistent,93.918,4.963,no
118,118,16594,31,blue-collar,single,basic.6y,no,no,jul,4,638,2,0,nonexistent,93.918,4.963,no
119,119,16595,36,services,married,high.school,no,no,jul,16,98,3,0,nonexistent,93.918,4.963,no
120,120,16596,24,technician,married,high.school,unknown,no,jul,18,517,4,0,nonexistent,93.918,4.963,no
121,121,16597,48,services,married,basic.9y,no,no,jul,5,271,6,0,nonexistent,93.918,4.963,no
122,122,16598,34,technician,single,professional.course,no,yes,jul,10,100,2,0,nonexistent,93.918,4.963,no
123,123,16599,25,services,married,high.school,no,no,jul,4,206,1,0,nonexistent,93.918,4.963,no
124,124,16600,29,technician,single,university.degree,no,yes,jul,11,166,1,0,nonexistent,93.918,4.963,no
125,125,16601,39,services,married,high.school,unknown,yes,jul,4,671,4,0,nonexistent,93.918,4.963,no
126,126,16602,29,technician,single,university.degree,no,no,jul,12,259,1,0,nonexistent,93.918,4.963,no
127,127,16603,30,management,married,university.degree,no,yes,jul,31,957,3,0,nonexistent,93.918,4.963,yes
128,128,16604,31,technician,single,professional.course,no,no,jul,6,296,2,0,nonexistent,93.918,4.963,no
129,129,16605,33,entrepreneur,married,basic.9y,no,yes,jul,21,85,6,0,nonexistent,93.918,4.963,no
130,130,16606,55,unknown,married,unknown,unknown,yes,jul,25,323,3,0,nonexistent,93.918,4.963,no
131,131,16607,29,technician,single,university.degree,no,yes,jul,24,438,1,0,nonexistent,93.918,4.963,no
132,132,16608,33,blue-collar,married,basic.9y,unknown,no,jul,9,218,3,0,nonexistent,93.918,4.963,no
133,133,16609,58,retired,married,basic.4y,unknown,no,jul,31,119,2,0,nonexistent,93.918,4.963,no
134,134,16610,23,admin.,single,professional.course,no,yes,jul,9,332,2,0,nonexistent,93.918,4.963,no
135,135,16611,57,technician,married,basic.4y,unknown,no,jul,24,158,2,0,nonexistent,93.918,4.963,no
136,136,16612,29,blue-collar,married,basic.9y,no,no,jul,25,125,2,0,nonexistent,93.918,4.963,no
137,137,16613,27,services,single,university.degree,no,unknown,jul,19,288,9,0,nonexistent,93.918,4.963,no
138,138,16614,43,management,married,unknown,no,yes,jul,5,129,2,0,nonexistent,93.918,4.963,no
139,139,16615,50,self-employed,divorced,university.degree,unknown,yes,jul,20,544,11,0,nonexistent,93.918,4.963,no
140,140,16616,39,blue-collar,single,university.degree,no,no,jul,4,91,7,0,nonexistent,93.918,4.963,no
141,141,16617,40,entrepreneur,married,basic.4y,unknown,yes,jul,28,448,2,0,nonexistent,93.918,4.963,no
142,142,16618,32,services,single,basic.9y,no,no,jul,4,168,1,0,nonexistent,93.918,4.963,no
143,143,16619,26,admin.,single,university.degree,no,no,jul,17,203,4,0,nonexistent,93.918,4.963,no
144,144,16620,48,technician,divorced,professional.course,no,yes,jul,9,118,3,0,nonexistent,93.918,4.963,no
145,145,16621,23,admin.,single,professional.course,no,yes,jul,29,902,2,0,nonexistent,93.918,4.963,yes
146,146,16622,39,blue-collar,married,unknown,unknown,yes,jul,17,123,3,0,nonexistent,93.918,4.963,no
147,147,16623,56,management,divorced,high.school,no,no,jul,25,361,3,0,nonexistent,93.918,4.963,no
148,148,16624,31,blue-collar,married,high.school,no,no,jul,18,248,2,0,nonexistent,93.918,4.963,no
149,149,16625,32,services,single,basic.9y,no,no,jul,30,711,1,0,nonexistent,93.918,4.963,no
150,150,16626,30,blue-collar,married,basic.6y,no,yes,jul,17,55,10,0,nonexistent,93.918,4.963,no
151,151,16627,31,admin.,single,university.degree,no,yes,jul,30,1327,2,0,nonexistent,93.918,4.963,yes
152,152,16628,30,management,married,university.degree,no,yes,jul,11,90,2,0,nonexistent,93.918,4.963,no
153,153,16629,32,technician,single,high.school,no,no,jul,24,239,11,0,nonexistent,93.918,4.963,no
154,154,16630,53,admin.,married,university.degree,unknown,no,jul,24,122,3,0,nonexistent,93.918,4.963,no
155,155,16631,37,blue-collar,married,basic.9y,no,yes,jul,17,1090,12,0,nonexistent,93.918,4.963,no
156,156,16632,35,entrepreneur,married,university.degree,no,yes,jul,15,82,3,0,nonexistent,93.918,4.963,no
157,157,16633,38,technician,single,professional.course,no,unknown,jul,19,361,2,0,nonexistent,93.918,4.963,no
158,158,16634,33,admin.,single,university.degree,no,no,jul,24,67,2,0,nonexistent,93.918,4.963,no
159,159,16635,21,blue-collar,married,basic.9y,no,yes,jul,21,2078,6,0,nonexistent,93.918,4.963,yes
160,160,16636,36,blue-collar,married,basic.9y,no,no,jul,27,339,4,0,nonexistent,93.918,4.963,no
161,161,16637,53,services,married,professional.course,no,yes,jul,21,185,10,0,nonexistent,93.918,4.963,no
162,162,16638,29,technician,single,university.degree,no,no,jul,2,203,2,0,nonexistent,93.918,4.963,no
163,163,16639,29,technician,single,university.degree,no,no,jul,27,1118,3,0,nonexistent,93.918,4.963,no
164,164,16640,46,admin.,divorced,high.school,no,no,jul,13,400,2,0,nonexistent,93.918,4.963,no
165,165,16641,23,admin.,single,professional.course,no,no,jul,2,580,2,0,nonexistent,93.918,4.963,no
166,166,16642,38,blue-collar,married,basic.6y,no,no,jul,17,179,17,0,nonexistent,93.918,4.963,no
167,167,16643,34,blue-collar,single,basic.4y,no,no,jul,24,475,2,0,nonexistent,93.918,4.963,no
168,168,16644,42,technician,single,high.school,no,no,jul,11,58,2,0,nonexistent,93.918,4.963,no
169,169,16645,30,management,married,university.degree,no,yes,jul,23,229,4,0,nonexistent,93.918,4.963,no
170,170,16646,38,blue-collar,married,basic.6y,no,no,jul,11,530,3,0,nonexistent,93.918,4.963,no
171,171,16647,25,blue-collar,married,basic.9y,no,yes,jul,3,497,5,0,nonexistent,93.918,4.963,no
172,172,16648,31,technician,married,basic.9y,no,yes,jul,16,81,1,0,nonexistent,93.918,4.963,no
173,173,16649,53,blue-collar,married,basic.6y,no,yes,jul,26,362,19,0,nonexistent,93.918,4.963,no
174,174,16650,42,unknown,married,university.degree,no,no,jul,10,255,1,0,nonexistent,93.918,4.963,no
175,175,16651,23,admin.,single,professional.course,no,no,jul,3,206,3,0,nonexistent,93.918,4.963,no
176,176,16652,42,self-employed,married,university.degree,no,no,jul,18,185,1,0,nonexistent,93.918,4.963,no
177,177,16653,56,blue-collar,married,basic.9y,unknown,yes,jul,14,125,1,0,nonexistent,93.918,4.963,no
178,178,16654,42,self-employed,married,university.degree,no,no,jul,28,673,1,0,nonexistent,93.918,4.963,no
179,179,16655,49,self-employed,divorced,university.degree,no,yes,jul,9,1124,2,0,nonexistent,93.918,4.963,yes
180,180,16656,51,admin.,married,basic.9y,unknown,yes,jul,18,228,2,0,nonexistent,93.918,4.963,yes
181,181,16657,30,technician,divorced,professional.course,no,no,jul,13,180,1,0,nonexistent,93.918,4.963,no
182,182,16658,30,technician,divorced,professional.course,no,no,jul,27,808,1,0,nonexistent,93.918,4.963,yes
183,183,16659,28,admin.,married,university.degree,no,yes,jul,12,510,2,0,nonexistent,93.918,4.963,no
184,184,16660,33,technician,married,university.degree,no,yes,jul,13,162,6,0,nonexistent,93.918,4.963,no
185,185,16661,26,admin.,single,university.degree,no,yes,jul,21,413,5,0,nonexistent,93.918,4.963,no
186,186,16662,54,housemaid,unknown,basic.4y,no,yes,jul,17,198,13,0,nonexistent,93.918,4.963,no
187,187,16663,55,management,married,basic.9y,no,yes,jul,9,421,2,0,nonexistent,93.918,4.963,no
188,188,16664,25,services,single,basic.9y,no,no,jul,3,350,2,0,nonexistent,93.918,4.963,no
189,189,16665,35,admin.,married,professional.course,no,yes,jul,20,322,3,0,nonexistent,93.918,4.963,no
190,190,16666,29,admin.,married,high.school,no,no,jul,27,201,16,0,nonexistent,93.918,4.963,no
191,191,16667,36,entrepreneur,married,university.degree,no,no,jul,15,638,2,0,nonexistent,93.918,4.963,yes
192,192,16668,28,admin.,single,high.school,no,no,jul,27,437,2,0,nonexistent,93.918,4.963,no
193,193,16669,32,services,divorced,basic.9y,unknown,no,jul,27,68,2,0,nonexistent,93.918,4.963,no
194,194,16670,28,admin.,single,university.degree,no,yes,jul,19,147,4,0,nonexistent,93.918,4.963,no
195,195,16671,34,services,married,high.school,no,no,jul,21,248,2,0,nonexistent,93.918,4.963,no
196,196,16672,57,blue-collar,married,basic.6y,unknown,yes,jul,9,108,4,0,nonexistent,93.918,4.963,no
197,197,16673,50,management,married,university.degree,no,yes,jul,24,110,2,0,nonexistent,93.918,4.963,no
198,198,16674,38,blue-collar,married,basic.6y,no,no,jul,3,328,2,0,nonexistent,93.918,4.963,no
199,199,16675,56,retired,married,professional.course,no,yes,jul,20,1066,2,0,nonexistent,93.918,4.963,no
200,200,16676,38,blue-collar,married,basic.9y,no,yes,jul,25,305,2,0,nonexistent,93.918,4.963,no
201,201,16677,22,admin.,single,high.school,no,yes,jul,12,293,5,0,nonexistent,93.918,4.963,no
202,202,16678,39,technician,married,professional.course,no,unknown,jul,22,68,3,0,nonexistent,93.918,4.963,no
203,203,16679,44,services,married,unknown,no,yes,jul,16,329,3,0,nonexistent,93.918,4.963,no
204,204,16680,30,blue-collar,married,basic.6y,no,yes,jul,28,329,3,0,nonexistent,93.918,4.963,no
205,205,16681,26,blue-collar,married,basic.6y,no,no,jul,3,609,2,0,nonexistent,93.918,4.963,no
206,206,16682,49,admin.,married,high.school,no,no,jul,3,652,2,0,nonexistent,93.918,4.963,no
207,207,16683,39,services,married,unknown,unknown,yes,jul,12,1201,6,0,nonexistent,93.918,4.963,yes
208,208,16684,35,services,married,basic.9y,no,yes,jul,11,252,6,0,nonexistent,93.918,4.963,no
209,209,16685,27,blue-collar,single,basic.9y,unknown,yes,jul,29,1309,4,0,nonexistent,93.918,4.963,yes
210,210,16686,48,technician,divorced,professional.course,no,no,jul,5,127,2,0,nonexistent,93.918,4.963,no
211,211,16687,37,admin.,married,high.school,no,yes,jul,28,205,6,0,nonexistent,93.918,4.963,no
212,212,16688,59,services,married,high.school,unknown,yes,jul,6,476,3,0,nonexistent,93.918,4.963,no
213,213,16689,32,blue-collar,married,basic.6y,no,yes,jul,12,158,4,0,nonexistent,93.918,4.963,no
214,214,16690,24,services,single,high.school,no,no,jul,8,74,5,0,nonexistent,93.918,4.963,no
215,215,16691,28,admin.,married,high.school,no,no,jul,12,419,5,0,nonexistent,93.918,4.963,no
216,216,16692,32,blue-collar,married,basic.6y,no,yes,jul,15,165,2,0,nonexistent,93.918,4.963,no
217,217,16693,35,management,single,unknown,no,yes,jul,10,408,3,0,nonexistent,93.918,4.963,no
218,218,16694,39,housemaid,single,basic.4y,unknown,no,jul,25,135,2,0,nonexistent,93.918,4.963,no
219,219,16695,23,services,single,high.school,no,unknown,jul,9,1300,3,0,nonexistent,93.918,4.963,no
220,220,16696,52,housemaid,married,high.school,unknown,yes,jul,4,41,2,0,nonexistent,93.918,4.963,no
221,221,16697,38,entrepreneur,married,university.degree,no,yes,jul,28,83,4,0,nonexistent,93.918,4.963,no
222,222,16698,30,admin.,divorced,basic.6y,no,no,jul,25,144,10,0,nonexistent,93.918,4.963,no
223,223,16699,60,blue-collar,married,basic.4y,unknown,yes,jul,23,293,5,0,nonexistent,93.918,4.963,no
224,224,16700,44,blue-collar,divorced,basic.9y,no,no,jul,12,161,2,0,nonexistent,93.918,4.963,no
225,225,16701,50,admin.,married,university.degree,unknown,yes,jul,11,173,2,0,nonexistent,93.918,4.963,no
226,226,16702,26,services,single,high.school,no,yes,jul,27,156,3,0,nonexistent,93.918,4.963,no
227,227,16703,31,blue-collar,married,basic.9y,unknown,no,jul,18,280,4,0,nonexistent,93.918,4.963,no
228,228,16704,47,self-employed,married,basic.9y,no,yes,jul,24,1359,6,0,nonexistent,93.918,4.963,yes
229,229,16705,43,admin.,married,university.degree,no,yes,jul,9,122,4,0,nonexistent,93.918,4.963,no
230,230,16706,60,self-employed,married,university.degree,no,yes,jul,8,416,4,0,nonexistent,93.918,4.963,yes
231,231,16707,27,technician,married,professional.course,no,no,jul,24,36,15,0,nonexistent,93.918,4.963,no
232,232,16708,50,admin.,single,university.degree,no,unknown,jul,13,623,3,0,nonexistent,93.918,4.963,no
233,233,16709,26,blue-collar,single,basic.4y,no,no,jul,5,53,17,0,nonexistent,93.918,4.963,no
234,234,16710,40,entrepreneur,married,university.degree,no,no,jul,27,279,3,0,nonexistent,93.918,4.963,no
235,235,16711,36,services,divorced,high.school,no,no,jul,20,532,2,0,nonexistent,93.918,4.963,yes
236,236,16712,48,services,married,basic.9y,no,yes,jul,23,107,4,0,nonexistent,93.918,4.963,no
237,237,16713,31,blue-collar,married,basic.4y,unknown,no,jul,20,933,2,0,nonexistent,93.918,4.963,no
238,238,16714,34,management,married,university.degree,no,no,jul,3,85,2,0,nonexistent,93.918,4.963,no
239,239,16715,31,blue-collar,married,basic.4y,unknown,yes,jul,4,790,2,0,nonexistent,93.918,4.963,no
240,240,16716,40,admin.,divorced,university.degree,no,no,jul,23,97,6,0,nonexistent,93.918,4.963,no
241,241,16717,27,blue-collar,single,basic.9y,unknown,yes,jul,20,171,4,0,nonexistent,93.918,4.963,no
242,242,16718,26,blue-collar,single,professional.course,no,yes,jul,11,505,2,0,nonexistent,93.918,4.963,no
243,243,16719,32,technician,married,professional.course,no,no,jul,23,495,2,0,nonexistent,93.918,4.963,no
244,244,16720,58,technician,married,unknown,unknown,no,jul,8,799,4,0,nonexistent,93.918,4.963,no
245,245,16721,41,blue-collar,married,basic.6y,no,yes,jul,5,111,2,0,nonexistent,93.918,4.963,no
246,246,16722,29,self-employed,married,professional.course,unknown,yes,jul,23,683,2,0,nonexistent,93.918,4.963,yes
247,247,16723,24,admin.,married,university.degree,no,yes,jul,8,84,13,0,nonexistent,93.918,4.963,no
248,248,16724,48,technician,divorced,professional.course,no,yes,jul,1,547,2,0,nonexistent,93.918,4.963,no
249,249,16725,27,admin.,married,high.school,no,yes,jul,3,103,5,0,nonexistent,93.918,4.963,no
250,250,16726,26,blue-collar,married,basic.6y,no,no,jul,18,236,5,0,nonexistent,93.918,4.963,no
251,251,16727,32,services,married,basic.9y,no,yes,jul,10,71,3,0,nonexistent,93.918,4.963,no
252,252,16728,40,admin.,divorced,university.degree,no,no,jul,21,192,5,0,nonexistent,93.918,4.963,no
253,253,16729,29,services,single,basic.6y,no,yes,jul,20,476,3,0,nonexistent,93.918,4.963,no
254,254,16730,40,blue-collar,divorced,basic.9y,no,no,jul,31,50,4,0,nonexistent,93.918,4.962,no
255,255,16731,29,technician,single,high.school,no,no,jul,20,54,29,0,nonexistent,93.918,4.962,no
256,256,16732,44,admin.,married,high.school,no,no,jul,3,42,3,0,nonexistent,93.918,4.962,no
257,257,16733,56,retired,married,basic.4y,no,no,jul,15,57,4,0,nonexistent,93.918,4.962,no
258,258,16734,31,blue-collar,single,basic.9y,unknown,no,jul,5,70,3,0,nonexistent,93.918,4.962,no
259,259,16735,58,blue-collar,married,basic.4y,no,no,jul,9,265,3,0,nonexistent,93.918,4.962,no
260,260,16736,52,services,married,high.school,unknown,yes,jul,4,117,2,0,nonexistent,93.918,4.962,no
261,261,16737,42,entrepreneur,married,university.degree,no,unknown,jul,12,430,4,0,nonexistent,93.918,4.962,yes
262,262,16738,47,technician,divorced,high.school,no,no,jul,14,202,3,0,nonexistent,93.918,4.962,no
